Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,20.29,53,51,204.97940063476562,79.08139038085938,332,179,0.0,0.09,0,False,True,0,499,227,490,192,840,498,320,180
2,18.07,52,51,205.1923828125,79.2891845703125,332,179,0.0,0.18,0,False,True,0,501,229,490,192,840,498,320,180
3,17.65,51,51,204.09912109375,78.75987243652344,334,180,0.0,0.29,0,False,True,0,503,231,490,192,840,498,320,180
4,17.72,52,51,203.73770141601562,78.9757080078125,333,180,0.0,0.39,0,False,True,0,505,233,490,192,840,498,320,180
5,16.29,51,50,204.39923095703125,79.76487731933594,334,181,0.0,0.49,0,False,True,0,507,235,490,192,840,498,320,180
6,18.61,49,49,203.86898803710938,77.32444763183594,341,185,0.0,0.58,0,False,True,0,509,236,490,192,840,498,320,180
7,19.19,39,48,213.50897216796875,78.55902099609375,351,186,0.0,0.67,0,False,True,0,511,237,490,192,840,498,320,180
8,19.43,32,37,221.82801818847656,90.04432678222656,357,196,0.0,0.77,0,False,True,0,513,239,490,192,840,498,320,180
9,20.16,23,28,230.43064880371094,99.97355651855469,365,206,0.0,0.86,0,True,True,0,515,241,490,192,840,498,320,180
10,19.24,16,19,237.4642791748047,108.05882263183594,372,214,7.72,0.95,0.07,True,True,0,515,241,490,192,840,498,320,180
11,18.19,7,17,247.03610229492188,111.21257019042969,379,215,14.04,1.04,0.14,True,True,0,515,241,490,192,840,498,320,180
12,19.46,-2,14,256.7793884277344,114.53877258300781,389,218,19.5,1.13,0.22,True,True,0,515,241,490,192,840,498,320,180
13,17.57,-4,12,261.2109069824219,119.7239990234375,388,219,24.12,1.23,0.29,True,True,0,515,241,490,192,840,498,320,180
14,19.18,-13,0,269.8338928222656,130.00035095214844,399,232,27.93,1.32,0.37,True,True,0,515,241,490,192,840,498,320,180
15,19.23,-14,-1,268.4795227050781,129.5137176513672,401,233,31.44,1.42,0.44,True,True,0,515,241,490,192,840,498,320,180
16,18.55,-14,-1,268.1709289550781,129.98666381835938,400,234,34.49,1.51,0.52,True,True,0,515,241,490,192,840,498,320,180
17,18.82,-13,-1,267.81536865234375,129.56976318359375,400,233,37.14,1.6,0.59,True,True,0,515,241,490,192,840,498,320,180
18,19.27,-12,0,268.6291809082031,130.87832641601562,398,232,39.49,1.7,0.66,True,True,0,515,241,490,192,840,498,320,180
19,20.39,-12,-1,268.997802734375,131.18783569335938,398,233,41.67,1.78,0.74,True,True,0,515,241,490,192,840,498,320,180
20,23.09,-14,-1,268.0309753417969,129.7679443359375,400,233,43.37,1.86,0.8,True,True,0,515,241,490,192,840,498,320,180
21,23.37,-13,-2,267.620849609375,130.00234985351562,400,234,44.98,1.93,0.87,True,True,0,515,241,490,192,840,498,320,180
22,21.19,-13,-1,267.8168640136719,129.84506225585938,400,233,46.66,2.01,0.93,True,True,0,515,241,490,192,840,498,320,180
23,21.06,-13,-2,267.2367858886719,130.2117462158203,399,234,48.16,2.09,1.0,True,True,0,515,241,490,192,840,498,320,180
24,22.92,-12,0,268.7316589355469,130.8677978515625,398,232,49.52,2.17,1.07,True,True,0,515,241,490,192,840,498,320,180
25,22.64,-13,-2,267.7547607421875,130.2759552001953,400,234,50.78,2.25,1.13,True,True,0,515,241,490,192,840,498,320,180
26,23.42,-13,-2,267.40057373046875,130.01766967773438,400,234,51.99,2.32,1.2,True,True,0,515,241,490,192,840,498,320,180
27,22.23,-13,-1,267.53741455078125,129.5391845703125,400,233,53.33,2.4,1.27,True,True,0,515,241,490,193,840,498,320,180
28,22.35,-12,0,268.74072265625,130.9775390625,398,232,54.41,2.47,1.34,True,True,0,515,241,490,193,840,498,320,180
29,22.97,-13,-2,267.7144470214844,130.47531127929688,400,234,55.52,2.55,1.41,True,True,0,515,241,490,192,840,498,320,180
30,20.72,-13,-2,267.2787780761719,130.17535400390625,399,234,56.44,2.63,1.48,True,True,0,515,241,490,192,840,498,320,180
31,20.83,-12,0,268.6624755859375,130.802978515625,398,232,57.37,2.71,1.55,True,True,0,515,241,490,192,840,498,320,180
32,21.33,-13,-2,267.62103271484375,130.40609741210938,400,234,58.3,2.79,1.62,True,True,0,515,241,490,192,840,498,320,180
33,21.11,-13,-2,267.677490234375,130.06451416015625,400,234,59.29,2.87,1.69,True,True,0,515,241,490,192,840,498,320,180
34,22.02,-13,-1,267.78955078125,129.69406127929688,400,233,60.08,2.95,1.76,True,True,0,515,241,490,192,840,498,320,180
35,22.35,-13,-2,267.2422180175781,130.08358764648438,399,234,60.86,3.02,1.83,True,True,0,515,241,490,192,840,498,320,180
36,21.62,-12,0,268.5872802734375,130.81524658203125,398,232,61.58,3.1,1.9,True,True,0,515,242,490,192,840,498,320,180
37,22.25,-13,-2,267.4784851074219,130.2996063232422,400,234,62.19,3.18,1.97,True,True,0,515,241,504,192,840,481,320,180
38,22.57,-13,-2,267.4337158203125,130.1382293701172,400,234,62.75,3.26,2.03,True,True,0,515,241,522,192,840,466,320,180
39,23.55,-13,-1,267.3912658691406,129.80413818359375,399,233,63.37,3.33,2.1,True,True,0,515,241,538,192,840,452,320,180
40,21.03,-13,-2,267.2112731933594,130.09176635742188,399,234,63.85,3.41,2.17,True,True,0,515,241,554,193,840,435,320,180
41,21.34,-13,-1,267.12567138671875,129.79177856445312,399,233,64.47,3.49,2.24,True,True,0,515,241,570,192,840,420,320,180
42,23.28,3,-2,250.9822998046875,129.1842803955078,386,235,64.99,3.57,2.31,True,True,0,515,241,585,192,840,404,320,180
43,23.13,18,-1,234.49176025390625,127.74365234375,372,235,65.46,3.64,2.38,True,True,0,515,241,601,192,840,388,320,180
44,21.88,30,-1,224.9158935546875,129.23529052734375,357,233,65.99,3.72,2.45,True,True,0,515,241,617,192,840,371,320,180
