frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
190,0,0,233.75,0.00,359.05,65.83,296.4,32.91
191,1,0,232.00,1.00,360.00,63.00,296.0,32.0
192,0,0,233.00,1.00,361.00,75.00,297.0,38.0
193,1,0,234.03,0.00,363.05,84.69,298.54,42.34
194,1,0,233.00,1.00,362.00,95.00,297.5,48.0
195,1,0,231.90,0.00,363.18,98.51,297.54,49.26
196,1,0,234.48,0.00,372.90,104.65,303.69,52.33
197,1,0,233.65,0.00,373.29,108.73,303.47,54.37
198,1,0,234.68,0.00,376.22,108.06,305.45,54.03
199,0,0,236.39,17.68,369.69,134.80,303.04,76.24
200,0,0,238.86,26.04,370.91,137.00,304.88,81.52
201,0,0,241.58,44.20,373.63,155.16,307.61,99.68
202,0,0,243.40,60.09,370.02,168.53,306.71,114.31
203,0,0,245.21,75.98,366.40,181.90,305.81,128.94
204,0,0,246.12,93.69,367.31,199.61,306.72,146.65
205,0,0,247.03,111.39,368.22,217.31,307.62,164.35
206,0,0,247.03,130.34,368.22,233.98,307.62,182.16
207,0,0,247.03,149.30,368.22,250.66,307.62,199.98
208,0,0,247.03,168.25,368.22,267.33,307.62,217.79
209,0,0,247.03,187.20,368.22,284.00,307.62,235.6
210,0,0,250.58,202.64,366.40,298.90,308.49,250.77
211,0,0,251.35,186.07,367.31,283.58,309.33,234.82
212,0,0,252.11,169.50,368.22,268.26,310.17,218.88
213,0,0,253.80,154.52,368.22,250.90,311.01,202.71
214,0,0,250.70,132.80,365.11,229.63,307.9,181.22
215,0,0,250.86,111.09,365.28,208.37,308.07,159.73
216,0,0,251.03,89.37,365.45,187.10,308.24,138.24
217,0,0,251.20,67.66,365.61,165.83,308.4,116.75
218,0,0,251.36,45.94,365.78,144.57,308.57,95.25
219,0,0,251.53,24.23,365.95,123.30,308.74,73.77
220,0,0,252.89,0.62,367.31,99.69,310.1,50.15
221,1,0,251.08,0.00,365.49,85.62,308.29,42.81
222,1,0,251.08,0.00,365.49,62.01,308.29,31.0
223,1,0,249.71,0.00,364.13,39.77,306.92,19.89
224,1,1,255.20,0.00,363.22,26.60,309.21,13.3
0,0,0,214.68,86.25,334.53,185.67,274.61,135.96
1,0,0,216.90,86.54,334.80,190.60,275.85,138.57
2,0,0,216.75,85.33,334.28,186.34,275.51,135.84
3,0,0,215.90,87.48,331.88,186.80,273.89,137.14
4,0,0,217.13,87.46,330.60,189.50,273.87,138.48
5,0,0,218.05,85.55,334.20,187.50,276.12,136.53
6,0,0,228.74,92.66,345.10,191.80,286.92,142.23
7,0,0,235.58,105.52,348.70,200.20,292.14,152.86
8,0,0,246.10,111.69,360.80,212.30,303.45,162.0
9,0,0,253.10,115.54,368.60,216.70,310.85,166.12
10,0,0,259.09,119.54,377.00,214.30,318.04,166.92
11,0,0,266.36,131.34,384.26,226.10,325.31,178.72
12,0,0,267.27,138.61,385.17,233.37,326.22,185.99
13,0,0,267.21,138.52,385.20,233.49,326.2,186.0
14,0,0,267.16,138.44,385.22,233.61,326.19,186.03
15,0,0,267.10,138.35,385.25,233.73,326.18,186.04
16,0,0,267.05,138.27,385.27,233.86,326.16,186.06
17,0,0,266.99,138.19,385.30,233.98,326.14,186.08
18,0,0,266.94,138.10,385.33,234.10,326.13,186.1
19,0,0,266.88,138.02,385.35,234.22,326.12,186.12
20,0,0,266.83,137.93,385.38,234.34,326.11,186.13
21,0,0,266.77,137.85,385.40,234.47,326.08,186.16
22,0,0,266.72,137.77,385.43,234.59,326.08,186.18
23,0,0,266.66,137.68,385.46,234.71,326.06,186.19
24,0,0,266.60,137.60,385.48,234.83,326.04,186.22
25,0,0,266.55,137.52,385.51,234.96,326.03,186.24
26,0,0,266.49,137.43,385.53,235.08,326.01,186.25
27,0,0,266.44,137.35,385.56,235.20,326.0,186.27
28,0,0,266.38,137.26,385.58,235.32,325.98,186.29
29,0,0,266.33,137.18,385.61,235.44,325.97,186.31
30,0,0,266.27,137.10,385.64,235.57,325.95,186.33
31,0,0,266.22,137.01,385.66,235.69,325.94,186.35
32,0,0,266.16,136.93,385.69,235.81,325.93,186.37
33,0,0,266.11,136.84,385.71,235.93,325.91,186.38
34,0,0,266.41,138.84,386.09,238.14,326.25,188.49
35,0,0,266.11,138.80,385.88,238.30,326.0,188.55
36,0,0,265.82,138.75,385.67,238.46,325.75,188.61
37,0,0,265.53,138.70,385.45,238.62,325.49,188.66
38,0,0,265.23,138.66,385.24,238.78,325.24,188.72
39,0,0,264.94,138.61,385.03,238.94,324.99,188.78
40,0,0,241.90,137.21,362.07,237.74,301.99,187.48
41,0,0,223.40,136.71,343.65,237.44,283.52,187.07
42,0,0,205.13,135.75,325.47,236.69,265.3,186.22
43,0,0,186.86,134.80,307.28,235.95,247.07,185.38
44,0,0,164.51,133.85,285.00,235.20,224.75,184.52
45,0,0,153.26,131.95,276.17,234.86,214.72,183.41
46,0,0,133.84,128.24,259.18,232.70,196.51,180.47
47,0,0,116.39,124.45,246.89,230.47,181.64,177.46
48,0,0,98.94,120.66,234.60,228.24,166.77,174.45
49,0,0,96.46,120.96,229.08,230.09,162.77,175.53
50,0,0,119.90,120.02,250.54,230.70,185.22,175.36
51,0,0,136.52,119.99,267.50,231.10,202.01,175.54
52,0,0,150.94,121.47,281.91,232.57,216.43,177.02
53,0,0,172.61,121.13,303.59,232.23,238.1,176.68
54,0,0,194.29,120.79,325.27,231.89,259.78,176.34
55,0,0,215.97,120.45,346.95,231.55,281.46,176.0
56,0,0,242.10,121.15,372.92,232.26,307.51,176.7
57,0,0,259.38,122.19,390.04,231.73,324.71,176.96
58,0,0,276.67,123.23,407.16,231.20,341.92,177.22
59,0,0,285.78,121.10,415.20,230.65,350.49,175.88
60,0,0,294.90,118.96,423.24,230.09,359.07,174.53
61,0,0,301.73,120.69,431.74,231.82,366.74,176.25
62,0,0,302.51,119.99,432.36,231.13,367.44,175.56
63,0,0,303.30,119.29,432.99,230.43,368.14,174.86
64,0,0,304.09,118.59,433.61,229.74,368.85,174.17
65,0,0,289.74,119.50,419.11,230.65,354.43,175.07
66,0,0,275.40,120.40,404.60,231.55,340.0,175.98
67,0,0,258.22,121.10,386.96,230.62,322.59,175.86
68,0,0,241.03,121.79,369.32,229.69,305.18,175.74
69,0,0,223.85,122.49,351.68,228.76,287.76,175.62
70,0,0,206.66,123.19,334.04,227.83,270.35,175.51
71,0,0,208.77,127.86,335.70,230.87,272.24,179.37
72,0,0,217.10,129.35,341.32,230.74,279.21,180.05
73,0,0,233.60,130.84,355.12,230.60,294.36,180.72
74,0,0,248.71,131.56,368.62,231.32,308.67,181.44
75,0,0,263.83,132.28,382.13,232.04,322.98,182.16
76,0,0,278.94,133.00,395.64,232.76,337.29,182.88
77,0,0,294.06,133.72,409.15,233.48,351.61,183.6
78,0,0,329.60,133.87,443.09,233.63,386.35,183.75
79,0,0,347.25,135.38,461.38,235.14,404.31,185.26
80,0,0,364.91,136.89,479.68,236.65,422.3,186.77
81,0,0,369.85,131.60,489.80,231.36,429.83,181.48
82,0,0,363.90,136.29,479.96,236.05,421.93,186.17
83,0,0,342.79,135.83,458.85,235.59,400.82,185.71
84,0,0,321.68,135.38,437.74,235.14,379.71,185.26
85,0,0,300.50,137.04,415.35,234.85,357.93,185.94
86,0,0,273.18,138.03,386.82,233.87,330.0,185.95
87,0,0,245.87,139.01,358.30,232.90,302.09,185.95
88,0,0,213.58,139.41,326.42,233.30,270.0,186.36
89,0,0,196.94,138.58,312.66,234.30,254.8,186.44
90,0,0,180.30,137.74,298.90,235.30,239.6,186.52
91,0,0,157.10,137.00,275.11,233.82,216.11,185.41
92,0,0,158.08,136.93,275.49,233.02,216.79,184.98
93,0,0,159.06,136.87,275.87,232.23,217.47,184.55
94,0,0,169.57,137.71,285.79,232.34,227.68,185.03
95,0,0,180.08,138.56,295.70,232.45,237.89,185.5
96,0,0,192.80,139.01,308.82,232.90,250.81,185.95
97,0,0,203.06,138.41,318.91,232.87,260.99,185.64
98,0,0,213.32,137.81,329.00,232.84,271.16,185.32
99,0,0,223.58,137.21,339.09,232.80,281.33,185.0
100,0,0,241.41,137.93,356.74,234.09,299.07,186.01
101,0,0,250.61,139.10,364.90,235.84,307.75,187.47
102,0,0,254.35,138.01,371.40,235.32,312.88,186.66
103,0,0,234.96,140.09,349.79,237.97,292.38,189.03
104,0,0,233.20,137.65,347.86,236.10,290.53,186.88
105,0,0,218.90,136.44,336.28,236.26,277.59,186.35
106,0,0,204.60,135.23,324.71,236.42,264.65,185.82
107,0,0,181.00,132.51,303.82,235.06,242.41,183.78
108,0,0,157.40,129.78,282.94,233.71,220.17,181.75
109,0,0,133.79,127.06,262.06,232.35,197.93,179.7
110,0,0,122.90,124.94,253.89,231.60,188.39,178.27
111,0,0,104.51,121.31,235.50,227.97,170.0,174.64
112,0,0,111.55,121.31,242.54,227.97,177.05,174.64
113,0,0,122.23,121.29,255.66,227.95,188.94,174.62
114,0,0,132.90,121.27,268.78,227.93,200.84,174.6
115,0,0,149.05,121.25,281.90,227.91,215.47,174.58
116,0,0,165.20,121.23,295.03,227.89,230.11,174.56
117,0,0,185.76,121.82,315.30,227.87,250.53,174.84
118,0,0,206.32,122.41,335.57,227.85,270.94,175.13
119,0,0,226.88,123.00,355.84,227.83,291.36,175.42
120,0,0,238.92,121.92,367.59,227.35,303.25,174.63
121,0,0,250.96,120.83,379.34,226.88,315.15,173.85
