frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
0,0,0,213.78,82.62,333.62,193.85,273.7,138.24
1,0,0,209.82,80.09,332.80,191.83,271.31,135.96
2,0,0,213.70,81.10,331.29,192.90,272.5,137.0
3,0,0,212.50,82.50,331.64,193.90,272.07,138.2
4,0,0,212.40,83.40,332.06,193.90,272.23,138.65
5,0,0,212.00,82.10,332.43,193.07,272.22,137.58
6,0,0,223.00,90.30,341.80,198.05,282.4,144.18
7,0,0,229.50,92.70,349.22,199.75,289.36,146.22
8,0,0,239.50,102.80,360.30,213.42,299.9,158.11
9,0,0,246.50,107.90,367.46,217.40,306.98,162.65
10,0,0,253.50,109.50,371.54,219.30,312.52,164.4
11,0,0,258.63,116.49,376.67,226.29,317.65,171.39
12,0,0,263.76,123.48,381.80,233.28,322.78,178.38
13,0,0,268.89,130.47,386.93,240.27,327.91,185.37
14,0,0,272.57,128.02,390.61,237.82,331.59,182.92
15,0,0,272.45,127.99,390.55,237.72,331.5,182.85
16,0,0,272.34,127.95,390.50,237.62,331.42,182.78
17,0,0,272.22,127.92,390.44,237.52,331.33,182.72
18,0,0,272.11,127.89,390.39,237.42,331.25,182.66
19,0,0,271.99,127.85,390.33,237.32,331.16,182.58
20,0,0,271.88,127.82,390.27,237.22,331.07,182.52
21,0,0,271.77,127.78,390.22,237.12,331.0,182.45
22,0,0,271.65,127.75,390.16,237.02,330.9,182.38
23,0,0,271.54,127.72,390.11,236.92,330.83,182.32
24,0,0,271.42,127.68,390.05,236.82,330.74,182.25
25,0,0,271.31,127.65,390.00,236.72,330.65,182.19
26,0,0,271.19,127.61,389.94,236.62,330.56,182.12
27,0,0,271.08,127.58,389.88,236.51,330.48,182.04
28,0,0,270.96,127.55,389.83,236.41,330.39,181.98
29,0,0,270.85,127.51,389.77,236.31,330.31,181.91
30,0,0,270.73,127.48,389.72,236.21,330.23,181.84
31,0,0,270.62,127.44,389.66,236.11,330.14,181.78
32,0,0,270.50,127.41,389.61,236.01,330.06,181.71
33,0,0,270.39,127.38,389.55,235.91,329.97,181.64
34,0,0,270.28,127.34,389.49,235.81,329.88,181.57
35,0,0,270.16,127.31,389.44,235.71,329.8,181.51
36,0,0,270.05,127.27,389.38,235.61,329.72,181.44
37,0,0,269.93,127.24,389.33,235.51,329.63,181.38
38,0,0,269.82,127.21,389.27,235.41,329.54,181.31
39,0,0,269.70,127.17,389.22,235.31,329.46,181.24
40,0,0,269.59,127.14,389.16,235.21,329.38,181.18
41,0,0,269.47,127.10,389.11,235.11,329.29,181.11
42,0,0,269.36,127.07,389.05,235.01,329.21,181.04
43,0,0,269.24,127.04,388.99,234.91,329.12,180.97
44,0,0,269.13,127.00,388.94,234.80,329.03,180.9
45,0,0,269.02,126.97,388.88,234.70,328.95,180.83
46,0,0,268.90,126.93,388.83,234.60,328.87,180.76
47,0,0,268.79,126.90,388.77,234.50,328.78,180.7
48,0,0,268.66,127.10,388.70,235.25,328.68,181.18
49,0,0,253.28,126.57,373.38,235.28,313.33,180.93
