Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,30.32,47,42,210.0,82.0,336,195,0.0,0.06,0,False,True,0,499,229,490,193,840,498,320,180
2,27.83,47,43,210.0,81.0,336,194,0.0,0.13,0,False,True,0,501,231,490,193,840,498,320,180
3,28.33,47,42,210.0,82.0,336,195,0.0,0.2,0,False,True,0,503,232,490,193,840,498,320,180
4,27.76,47,43,210.0,81.0,336,194,0.0,0.27,0,False,True,0,505,233,490,193,840,498,320,180
5,26.53,47,42,210.0,82.0,336,195,0.0,0.34,0,False,True,0,507,235,490,193,840,498,320,180
6,29.46,47,43,210.0,81.0,336,194,0.0,0.41,0,False,True,0,509,236,490,193,840,498,320,180
7,28.44,37,34,220.0,90.0,346,203,0.0,0.47,0,False,True,0,511,237,490,193,840,498,320,180
8,30.19,29,33,228.0,91.0,354,204,0.0,0.54,0,False,True,0,513,239,490,193,840,498,320,180
9,23.29,19,22,238.0,102.0,364,215,0.0,0.61,0,True,True,0,513,240,490,193,840,498,320,180
10,30.73,13,17,244.0,107.0,370,220,8.13,0.68,0.05,True,True,0,513,240,490,193,840,498,320,180
11,30.01,7,14,250.0,110.0,376,223,15.33,0.74,0.11,True,True,0,513,240,490,193,840,498,320,180
12,28.36,-3,11,260.0,113.0,386,226,21.32,0.81,0.17,True,True,0,513,240,490,193,840,498,320,180
13,28.37,-9,8,266.0,116.0,392,229,26.53,0.87,0.23,True,True,0,513,240,490,193,840,498,320,180
14,29.8,-9,-1,266.0,125.0,392,238,30.52,0.94,0.28,True,True,0,513,240,490,193,840,498,320,180
15,30.79,-9,-2,266.0,126.0,392,239,34.27,1.0,0.34,True,True,0,513,240,490,193,840,498,320,180
16,32.54,-9,-1,266.0,125.0,392,238,37.19,1.07,0.39,True,True,0,513,241,490,193,840,498,320,180
17,28.78,-9,-2,266.0,126.0,392,239,40.1,1.13,0.45,True,True,0,513,240,490,193,840,498,320,180
18,30.44,-9,-1,266.0,125.0,392,238,42.29,1.2,0.5,True,True,0,513,240,490,193,840,498,320,180
19,27.0,-9,-2,266.0,126.0,392,239,44.63,1.27,0.56,True,True,0,513,240,490,193,840,498,320,180
20,26.38,-9,-1,266.0,125.0,392,238,46.76,1.34,0.62,True,True,0,513,240,490,193,840,498,320,180
21,30.15,-9,-2,266.0,126.0,392,239,48.35,1.4,0.67,True,True,0,513,240,490,193,840,498,320,180
22,28.89,-9,-1,266.0,125.0,392,238,49.83,1.47,0.73,True,True,0,513,240,490,193,840,498,320,180
23,30.68,-9,-2,266.0,126.0,392,239,51.42,1.54,0.79,True,True,0,513,240,490,193,840,498,320,180
24,24.57,-9,-1,266.0,125.0,392,238,53.17,1.61,0.85,True,True,0,513,240,490,193,840,498,320,180
25,27.28,-9,-2,266.0,126.0,392,239,54.45,1.68,0.91,True,True,0,513,240,490,193,840,498,320,180
26,26.34,-9,-1,266.0,125.0,392,238,55.62,1.75,0.97,True,True,0,513,240,490,193,840,498,320,180
27,27.31,-9,-2,266.0,126.0,392,239,56.64,1.83,1.03,True,True,0,513,240,490,193,840,498,320,180
28,29.03,-9,-1,266.0,125.0,392,238,57.58,1.89,1.08,True,True,0,513,240,490,193,840,498,320,180
29,28.32,-9,-2,266.0,126.0,392,239,58.47,1.96,1.14,True,True,0,513,240,490,193,840,498,320,180
30,26.81,-9,-1,266.0,125.0,392,238,59.28,2.03,1.2,True,True,0,513,240,490,193,840,498,320,180
31,27.12,-9,-2,266.0,126.0,392,239,60.18,2.11,1.26,True,True,0,513,240,490,193,840,498,320,180
32,27.01,-9,-1,266.0,125.0,392,238,60.96,2.18,1.32,True,True,0,513,240,490,193,840,498,320,180
33,25.01,-9,-2,266.0,126.0,392,239,61.74,2.25,1.38,True,True,0,513,240,490,193,840,498,320,180
34,26.07,-9,-1,266.0,125.0,392,238,62.36,2.32,1.44,True,True,0,513,237,490,193,840,498,320,180
35,26.99,-9,-2,266.0,126.0,392,239,63.02,2.4,1.5,True,True,0,513,240,490,193,840,498,320,180
36,27.12,-9,-1,266.0,125.0,392,238,63.56,2.47,1.56,True,True,0,513,240,490,193,840,498,320,180
37,26.19,-9,-2,266.0,126.0,392,239,64.2,2.54,1.62,True,True,0,513,240,490,193,840,498,320,180
38,24.64,-9,-1,266.0,125.0,392,238,64.67,2.62,1.68,True,True,0,513,240,490,193,840,498,320,180
39,24.89,-9,-2,266.0,126.0,392,239,65.17,2.69,1.75,True,True,0,513,240,490,193,840,498,320,180
40,23.03,-9,-1,266.0,125.0,392,238,65.58,2.78,1.81,True,True,0,513,240,490,193,840,498,320,180
41,23.32,-9,-2,266.0,126.0,392,239,66.11,2.86,1.88,True,True,0,513,240,490,193,840,498,320,180
42,22.56,-9,-1,266.0,125.0,392,238,66.58,2.95,1.95,True,True,0,513,240,490,194,840,498,320,180
43,24.24,-9,-2,266.0,126.0,392,239,66.95,3.03,2.02,True,True,0,513,240,490,193,840,498,320,180
44,21.86,-9,-1,266.0,125.0,392,238,67.28,3.12,2.08,True,True,0,513,240,490,193,840,498,320,180
45,23.34,-9,-2,266.0,126.0,392,239,67.59,3.2,2.15,True,True,0,513,240,507,193,840,479,320,180
46,22.44,-9,-1,266.0,125.0,392,238,67.86,3.28,2.22,True,True,0,513,240,524,193,840,463,320,180
47,22.7,-9,-2,266.0,126.0,392,239,68.02,3.37,2.28,True,True,0,513,240,541,193,840,447,320,180
48,23.54,-9,-1,266.0,125.0,392,238,68.16,3.45,2.34,True,True,0,513,240,559,193,840,429,320,180
49,23.31,-9,-2,266.0,126.0,392,239,68.3,3.53,2.4,True,True,0,513,240,574,193,840,413,320,180
50,24.51,11,-1,246.0,125.0,372,238,68.49,3.62,2.47,True,True,0,513,240,592,193,840,396,320,180
51,22.51,23,-2,234.0,126.0,360,239,68.61,3.7,2.53,True,True,0,513,240,607,193,840,375,320,180
52,22.89,33,-1,224.0,125.0,350,238,67.06,3.79,2.53,False,True,0,513,240,627,193,840,358,320,180
53,23.17,51,-2,206.0,126.0,332,239,65.62,3.87,2.53,False,True,0,515,240,643,193,840,340,320,180
54,23.98,67,1,190.0,123.0,316,236,64.24,3.95,2.53,False,True,0,518,240,661,193,840,320,320,180
55,23.89,77,0,180.0,124.0,306,237,62.94,4.04,2.53,False,True,0,522,240,678,193,840,306,320,180
56,23.68,93,3,164.0,121.0,290,234,61.68,4.12,2.53,False,True,0,524,240,687,193,840,305,320,180
57,21.98,105,2,152.0,122.0,278,235,60.4,4.2,2.53,False,True,0,528,240,686,193,840,305,320,180
58,23.1,107,5,150.0,119.0,276,232,59.23,4.29,2.53,False,True,0,532,240,686,193,840,305,320,180
59,22.22,115,6,142.0,118.0,268,231,58.1,4.37,2.53,False,True,0,537,240,686,193,840,305,320,180
60,24.81,117,7,140.0,117.0,266,230,57.03,4.45,2.53,False,True,0,542,240,686,193,840,305,320,180
61,24.48,119,8,138.0,116.0,264,229,56.05,4.53,2.53,False,True,0,546,240,686,193,840,305,320,180
62,27.3,103,9,154.0,115.0,280,228,55.18,4.6,2.53,False,True,0,550,240,686,193,840,305,320,180
63,27.45,87,8,170.0,116.0,296,229,54.35,4.67,2.53,False,True,0,554,240,686,193,840,305,320,180
64,27.13,61,7,196.0,117.0,322,230,53.46,4.74,2.53,False,True,0,558,240,686,193,840,305,320,180
65,26.55,45,8,212.0,116.0,338,229,52.67,4.81,2.53,False,True,0,560,240,686,193,840,305,320,180
66,30.19,31,9,226.0,115.0,352,228,51.93,4.88,2.53,False,True,0,562,240,686,193,840,305,320,180
67,29.33,19,8,238.0,116.0,364,229,51.24,4.95,2.53,True,True,0,563,240,686,193,840,305,320,180
68,29.5,1,9,256.0,115.0,382,228,50.57,5.01,2.53,True,True,0,563,240,686,193,840,305,320,180
69,29.22,-9,8,266.0,116.0,392,229,49.91,5.08,2.53,True,True,0,563,240,686,193,840,308,320,180
70,29.68,-21,9,278.0,115.0,404,228,49.27,5.15,2.53,True,True,0,563,239,686,193,840,305,320,180
71,29.44,-25,8,282.0,116.0,408,229,48.66,5.21,2.53,True,True,0,563,239,686,193,840,305,320,180
72,28.2,-29,9,286.0,115.0,412,228,48.05,5.28,2.53,True,True,0,563,239,686,193,840,305,320,180
