frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
0,0,0,218.32,93.52,339.98,199.29,279.15,146.41
1,0,0,219.05,92.49,344.16,200.50,281.61,146.5
2,0,0,213.22,82.79,337.18,197.79,275.2,140.29
3,0,0,218.00,91.00,335.00,195.00,276.5,143.0
4,0,0,220.17,93.13,341.27,199.40,280.72,146.26
5,0,0,213.70,83.31,337.36,198.16,275.53,140.74
6,0,0,225.62,90.07,350.41,205.96,288.01,148.01
7,0,0,239.06,108.63,361.92,216.00,300.49,162.31
8,0,0,239.20,108.01,360.28,220.19,299.74,164.1
9,0,0,252.79,115.13,375.01,223.60,313.9,169.37
10,0,0,253.42,117.47,372.51,226.03,312.96,171.75
11,0,0,255.92,122.18,377.67,230.90,316.8,176.54
12,0,0,255.21,130.57,376.74,238.70,315.98,184.63
13,0,0,255.01,131.82,375.75,241.53,315.38,186.68
14,0,0,254.93,131.91,374.24,241.13,314.59,186.52
15,0,0,253.00,132.00,370.00,235.00,311.5,183.5
16,0,0,252.97,132.03,369.97,235.03,311.47,183.53
17,0,0,252.95,132.07,369.95,235.07,311.45,183.57
18,0,0,252.92,132.10,369.92,235.10,311.42,183.6
19,0,0,252.89,132.13,369.89,235.13,311.39,183.63
20,0,0,252.87,132.16,369.87,235.16,311.37,183.66
21,0,0,252.84,132.20,369.84,235.20,311.34,183.7
22,0,0,252.81,132.23,369.81,235.23,311.31,183.73
23,0,0,252.79,132.26,369.79,235.26,311.29,183.76
24,0,0,252.76,132.29,369.76,235.29,311.26,183.79
25,0,0,252.73,132.33,369.73,235.33,311.23,183.83
26,0,0,252.71,132.36,369.71,235.36,311.21,183.86
27,0,0,252.68,132.39,369.68,235.39,311.18,183.89
28,0,0,252.66,132.43,369.66,235.43,311.16,183.93
29,0,0,252.63,132.46,369.63,235.46,311.13,183.96
30,0,0,252.60,132.49,369.60,235.49,311.1,183.99
31,0,0,252.58,132.52,369.58,235.52,311.08,184.02
