Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,29.15,43,36,211.09656375907073,89.08911328786056,343,200,0.0,0.06,0,False,True,0,499,230,487,193,840,498,320,180
2,32.34,44,32,206.53995890957245,89.08491070682233,348,208,0.0,0.13,0,False,True,0,501,232,487,193,840,498,320,180
3,35.7,44,32,206.54095427217106,89.05932650668177,348,208,0.0,0.21,0,False,True,0,503,234,487,193,840,498,320,180
4,34.7,44,32,206.68878956866018,89.23164766070512,348,208,0.0,0.27,0,False,True,0,505,236,487,193,840,498,320,180
5,37.67,30,43,220.75247975420706,78.26747529742386,362,197,0.0,0.33,0,False,True,0,507,236,487,193,840,498,320,180
6,39.01,29,43,221.50126278049754,78.26786793865244,362,197,0.0,0.39,0,False,True,0,507,237,487,193,840,498,320,180
7,35.04,15,35,234.0171846861529,86.70123869200653,376,206,0.0,0.45,0,False,True,0,507,239,487,193,840,498,320,180
8,37.07,12,27,238.97844646056427,94.35624492109812,379,212,0.0,0.51,0,True,True,0,507,240,487,193,840,498,320,180
9,39.39,4,20,245.5334492422574,101.66867392501777,387,221,8.72,0.57,0.05,True,True,0,507,240,487,193,840,498,320,180
10,34.99,-4,19,254.13375188551126,102.11817070176124,394,220,16.66,0.64,0.1,True,True,0,507,240,487,193,840,498,320,180
11,36.84,-5,19,255.95778508877456,103.3060276290467,396,221,22.65,0.7,0.16,True,True,0,507,240,487,193,840,498,320,180
12,37.17,-5,15,256.2295507467275,107.95467148132369,396,225,27.24,0.76,0.2,True,True,0,507,240,487,193,840,498,320,180
13,40.17,-5,3,255.38913254400745,118.42418011833203,396,237,31.55,0.81,0.25,True,True,0,507,240,487,193,840,498,320,180
14,38.04,-5,2,255.26686950941632,119.1401376926669,396,238,35.46,0.87,0.31,True,True,0,507,240,487,192,840,498,320,180
15,36.37,-6,3,255.39483850628358,118.7453492267527,397,238,39.02,0.93,0.36,True,True,0,507,240,487,193,840,498,320,180
16,37.6,-5,3,255.5518524923243,118.86473487371458,397,238,42.18,0.99,0.41,True,True,0,507,240,487,193,840,498,320,180
17,39.87,-5,3,255.5357414302435,118.7281537154019,397,238,44.4,1.05,0.46,True,True,0,507,240,487,193,840,498,320,180
18,36.67,-5,3,255.4344139852485,118.61289080890529,397,238,46.67,1.11,0.51,True,True,0,507,240,487,193,840,498,320,180
19,41.17,-5,3,255.50171545763996,118.72475998544013,397,238,48.59,1.16,0.56,True,True,0,507,240,487,193,840,498,320,180
20,36.91,-5,3,255.46121961890103,118.73772596910077,397,238,50.17,1.22,0.61,True,True,0,507,240,487,193,840,498,320,180
21,36.98,-5,3,255.61153032089894,118.67685058414413,397,237,51.78,1.28,0.66,True,True,0,507,240,487,193,840,498,320,180
22,37.53,-5,3,255.79256104540843,118.93421814828184,397,237,53.36,1.34,0.71,True,True,0,507,240,487,193,840,498,320,180
23,35.54,-5,3,255.8482998879756,118.90166786863139,397,237,54.91,1.4,0.76,True,True,0,507,240,487,193,840,498,320,180
24,42.07,-5,3,255.8718596139017,118.65770285074865,397,237,56.13,1.45,0.81,True,True,0,507,240,487,193,840,498,320,180
25,40.12,-5,3,255.7043032078525,118.67470385138031,397,237,57.3,1.51,0.86,True,True,0,507,240,487,193,840,498,320,180
26,37.35,-5,3,255.67790477119064,118.60718068442574,397,237,58.31,1.57,0.91,True,True,0,507,240,487,193,840,498,320,180
27,41.99,-5,3,255.5881323335453,118.59128144899034,396,237,59.4,1.63,0.96,True,True,0,507,240,487,193,840,498,320,180
28,44.1,-5,3,255.6718214647035,118.71816282908622,396,237,60.41,1.68,1.01,True,True,0,507,240,487,193,840,498,320,180
29,36.11,-5,3,255.74657216010317,118.60634303793844,396,237,61.43,1.74,1.06,True,True,0,507,240,487,193,840,498,320,180
30,40.32,-5,3,255.6323243585502,118.65128860199869,396,237,62.17,1.8,1.11,True,True,0,507,240,487,193,840,498,320,180
31,35.76,-5,3,255.7205424888638,118.67614911595624,396,237,62.72,1.86,1.16,True,True,0,507,240,487,193,840,498,320,180
32,37.5,-5,3,255.71231999159443,118.66828127208998,396,237,63.63,1.92,1.21,True,True,0,507,240,487,193,840,498,320,180
33,38.62,-5,3,255.73031196265362,118.67236737426073,396,237,64.12,1.98,1.26,True,True,0,507,240,487,193,840,498,320,180
34,41.37,-5,3,255.78780848725484,118.84860195146396,396,237,64.71,2.03,1.31,True,True,0,507,240,487,193,840,498,320,180
35,38.38,-5,3,255.65532178871786,118.75753800235674,396,237,65.34,2.09,1.36,True,True,0,507,240,487,193,841,498,320,180
36,43.71,-5,3,255.67794662485417,118.77674388693002,396,237,65.95,2.15,1.41,True,True,0,507,240,487,193,840,498,320,180
37,42.35,-5,3,255.73013946914642,118.76450968210293,396,237,66.43,2.2,1.46,True,True,0,507,240,487,193,840,498,320,180
38,37.76,-5,3,255.6144777881933,118.70936878504108,396,237,66.91,2.26,1.51,True,True,0,507,240,487,193,840,498,320,180
39,41.84,-5,3,255.58625891339653,118.74067951111935,396,237,67.38,2.32,1.55,True,True,0,507,240,487,193,840,498,320,180
40,36.19,-5,3,255.8673208192357,118.98802791021315,396,237,67.85,2.38,1.61,True,True,0,507,240,487,193,840,498,320,180
41,39.33,-5,3,255.95363510763508,118.94350685250015,396,237,68.18,2.44,1.66,True,True,0,507,240,487,193,840,498,320,180
42,38.77,-5,3,255.83152008500957,118.9395199863305,396,237,68.55,2.5,1.71,True,True,0,507,240,487,193,840,498,320,180
43,38.5,-5,3,255.87704871547368,118.8659099650144,396,236,68.85,2.56,1.76,True,True,0,507,240,487,193,840,498,320,180
44,38.23,-5,3,255.75425028825867,118.74328673534279,396,236,69.3,2.62,1.81,True,True,0,507,240,487,193,840,498,320,180
45,39.66,-5,3,255.8968207611443,118.73009910698951,396,236,69.69,2.69,1.86,True,True,0,507,240,487,193,840,498,320,180
46,38.14,-4,4,255.7661247399659,118.79845068305924,395,236,70.02,2.75,1.91,True,True,0,507,240,487,193,840,498,320,180
47,36.64,-5,3,255.6795301278588,118.71319739359777,395,236,70.37,2.81,1.97,True,True,0,507,240,487,193,840,498,320,180
48,33.82,-5,3,255.639667444009,118.79384607396912,395,236,70.66,2.87,2.02,True,True,0,507,240,487,193,840,498,320,180
49,37.54,-5,3,255.64414887806217,118.69982794025853,395,236,70.96,2.93,2.07,True,True,0,507,240,487,193,840,498,320,180
50,39.78,-5,3,255.53917838282948,118.65422139374886,395,236,71.21,2.99,2.12,True,True,0,507,240,487,193,840,498,320,180
51,42.0,-5,4,255.61411505765687,118.67750674655116,395,236,71.33,3.05,2.17,True,True,0,507,240,487,193,840,498,320,180
52,36.66,-5,4,255.64639613214314,118.72863586478633,395,236,71.5,3.11,2.22,True,True,0,507,240,487,193,840,498,320,180
53,34.66,-5,3,255.62678664704538,118.66348221243786,395,236,71.78,3.18,2.27,True,True,0,507,240,498,193,840,488,320,180
54,36.72,-5,3,255.5401264152366,118.67766679140038,395,236,71.91,3.24,2.32,True,True,0,507,240,513,193,840,474,320,180
55,37.11,-4,4,255.6087764264692,118.75184197689765,395,236,72.0,3.3,2.37,True,True,0,507,240,524,193,840,462,320,180
56,29.28,-5,3,255.6387190883289,118.77568918068616,395,236,72.19,3.37,2.42,True,True,0,507,240,538,193,840,449,320,180
57,31.77,-5,3,255.6194654721066,118.69422902709931,395,236,72.29,3.44,2.47,True,True,0,507,240,551,193,840,436,320,180
58,30.62,7,3,242.23594138454274,117.33086192340912,385,237,72.41,3.51,2.53,True,True,0,507,240,566,193,840,422,320,180
59,29.99,21,4,228.66761678020913,117.70302616555026,370,237,72.55,3.58,2.59,True,True,0,507,240,581,193,840,406,320,180
60,29.88,29,4,220.55159107364045,116.99555420053068,363,237,72.78,3.65,2.65,True,True,0,507,240,596,193,840,391,320,180
61,28.92,43,4,206.80070939926884,116.570032347868,350,237,71.26,3.73,2.65,False,True,0,507,240,610,193,840,374,320,180
62,28.89,53,4,196.7043406964072,116.2443090740612,340,237,69.89,3.81,2.65,False,True,0,509,240,628,193,840,358,320,180
63,31.34,62,4,187.44096408467794,116.17020966865556,330,236,68.59,3.88,2.65,False,True,0,511,240,643,193,840,343,320,180
64,28.82,80,5,168.53257435920875,115.17245418450739,313,237,67.31,3.95,2.65,False,True,0,514,240,658,193,840,326,320,180
65,29.65,89,6,158.5228375217145,113.40644545478361,304,236,66.06,4.03,2.65,False,True,0,518,240,674,193,840,310,320,180
66,31.01,105,6,142.02842722637604,112.21229280758863,289,236,64.89,4.1,2.65,False,True,0,522,239,686,193,840,305,320,180
67,30.65,108,7,138.60579291291486,111.93810385409111,287,236,63.75,4.17,2.65,False,True,0,525,240,686,193,840,305,320,180
68,31.49,115,10,130.85692179213277,107.72131638786507,282,235,62.66,4.24,2.65,False,True,0,530,240,686,193,840,305,320,180
69,31.01,114,10,131.469299547866,107.22868527278146,283,235,61.61,4.32,2.65,False,True,0,534,240,686,193,840,305,320,180
70,30.21,113,11,130.9685310591567,104.72652188261836,286,235,60.56,4.39,2.65,False,True,0,539,240,686,193,840,305,320,180
71,28.07,111,12,132.91180988132618,103.96919889600368,287,234,59.51,4.47,2.65,False,True,0,543,240,686,193,840,305,320,180
72,30.75,98,12,144.25153600868964,103.65205513550423,300,235,58.55,4.54,2.65,False,True,0,545,240,686,193,840,305,320,180
73,28.9,81,12,162.12753669296376,103.73704281083047,317,234,57.6,4.62,2.65,False,True,0,548,240,686,193,840,305,320,180
74,30.59,64,12,180.16988184904517,104.45085106277013,334,234,56.68,4.69,2.65,False,True,0,549,240,686,193,840,305,320,180
75,30.45,47,12,198.40483977162188,105.1570713793047,350,233,55.8,4.76,2.65,False,True,0,552,240,686,193,840,305,320,180
76,29.14,28,12,217.2714163359836,105.49230246768374,368,232,54.94,4.84,2.65,True,True,0,554,240,686,193,840,305,320,180
77,31.04,21,12,224.2318206672794,105.93210809648463,375,233,54.13,4.91,2.65,True,True,0,554,240,686,193,840,305,320,180
78,29.05,10,12,235.7041938872714,105.65102210560002,386,232,53.32,4.98,2.65,True,True,0,554,240,686,193,840,305,320,180
79,28.44,1,12,244.97398735781854,105.95140498730461,395,233,52.5,5.06,2.65,True,True,0,554,240,686,193,840,305,320,180
80,30.2,-6,12,251.805693255726,105.0274313766609,403,232,51.76,5.13,2.65,True,True,0,554,240,686,193,841,306,320,180
81,30.82,-11,12,256.2729730151095,105.20078916231776,408,233,51.03,5.21,2.65,True,True,0,554,240,686,193,840,305,320,180
82,29.26,-12,12,256.2165604363766,104.94542338813702,408,232,50.31,5.28,2.65,True,True,0,554,240,686,193,840,305,320,180
