frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
218,0,0,242.74,14.45,361.54,121.50,302.14,67.97
219,0,0,241.11,26.70,365.36,133.50,303.24,80.1
220,0,0,248.00,33.00,364.00,133.00,306.0,83.0
221,0,0,273.84,36.26,397.00,144.70,335.42,90.48
222,0,0,282.35,29.25,408.02,143.69,345.19,86.47
223,0,0,308.95,34.72,434.20,142.70,371.57,88.71
224,0,0,327.14,18.38,460.83,143.25,393.99,80.81
225,0,0,344.55,19.15,477.07,141.47,410.81,80.31
226,0,0,361.53,13.17,498.93,138.69,430.23,75.93
227,0,0,379.47,11.99,520.49,136.87,449.98,74.43
228,0,0,377.00,12.00,518.00,134.00,447.5,73.0
229,1,0,370.68,7.94,511.68,129.94,441.18,68.94
230,1,0,357.12,3.42,498.12,125.42,427.62,64.42
231,1,0,345.38,0.00,486.38,120.90,415.88,60.45
232,1,0,320.09,0.00,461.09,120.45,390.59,60.23
233,1,0,289.82,2.26,430.82,122.71,360.32,62.48
234,1,0,269.04,0.00,410.04,116.38,339.54,58.19
235,1,0,238.78,0.00,379.78,115.93,309.28,57.97
236,1,0,211.23,0.00,352.23,113.67,281.73,56.84
237,1,0,189.09,1.81,330.09,115.48,259.59,58.65
238,1,0,166.06,0.00,307.06,109.15,236.56,54.58
239,1,0,148.44,0.00,289.44,108.25,218.94,54.12
240,1,0,122.24,0.00,263.24,106.90,192.74,53.45
241,1,0,100.11,0.00,241.11,105.54,170.61,52.77
242,1,0,71.20,0.00,212.20,105.09,141.7,52.55
243,1,0,50.88,1.81,191.88,106.90,121.38,54.36
244,1,0,37.78,0.00,178.78,107.80,108.28,53.9
245,1,0,37.87,0.00,178.87,108.70,108.37,54.35
246,1,0,37.96,0.00,178.96,108.48,108.46,54.24
247,1,0,38.05,0.00,179.05,108.25,108.55,54.12
248,1,0,38.14,0.00,179.14,108.03,108.64,54.02
249,1,0,38.23,0.00,179.23,107.80,108.73,53.9
250,1,0,42.29,1.35,183.29,112.80,112.79,57.08
251,1,0,49.97,1.35,190.97,112.80,120.47,57.08
252,1,0,56.07,1.13,197.07,115.75,126.57,58.44
253,1,0,62.17,0.90,203.17,118.70,132.67,59.8
254,1,0,62.32,4.22,199.55,121.57,130.94,62.89
255,1,0,62.47,7.53,195.92,124.43,129.19,65.98
256,0,0,62.62,10.84,192.30,127.30,127.46,69.07
257,0,0,54.94,14.45,184.62,130.91,119.78,72.68
258,0,0,35.52,15.36,165.20,131.82,100.36,73.59
259,0,0,17.76,17.16,146.90,133.62,82.33,75.39
260,0,0,0.00,18.97,128.61,135.43,64.31,77.2
261,1,0,5.42,18.75,115.06,135.20,60.24,76.97
262,1,0,0.00,19.42,90.67,135.88,45.34,77.65
263,1,0,0.00,18.97,72.15,135.43,36.08,77.2
264,1,0,0.00,17.62,53.18,134.07,26.59,75.84
265,1,0,0.00,18.97,27.43,135.43,13.71,77.2
266,1,1,0.00,18.97,27.43,135.43,13.71,77.2
0,0,0,213.83,84.02,337.14,196.04,275.49,140.03
1,0,0,213.59,85.18,337.10,194.00,275.35,139.59
2,0,0,215.67,85.07,335.70,195.30,275.69,140.19
3,0,0,216.93,83.42,336.30,194.90,276.62,139.16
4,0,0,213.15,83.00,335.30,194.60,274.23,138.8
5,0,0,216.04,80.76,344.58,202.26,280.31,141.51
6,0,0,215.86,82.12,342.84,204.47,279.35,143.3
7,0,0,232.79,102.84,357.00,216.40,294.89,159.62
8,0,0,230.12,99.51,357.20,219.08,293.66,159.3
9,0,0,253.87,113.42,370.00,218.30,311.94,165.86
10,0,0,256.54,118.40,378.40,230.30,317.47,174.35
11,0,0,264.56,119.75,385.74,231.32,325.15,175.53
12,0,0,273.48,130.14,393.99,241.37,333.74,185.75
13,0,0,273.14,131.95,392.97,242.84,333.06,187.39
14,0,0,271.45,131.05,390.60,241.60,331.02,186.32
15,0,0,271.44,131.03,390.59,241.59,331.01,186.31
16,0,0,271.44,131.02,390.59,241.57,331.01,186.3
17,0,0,271.43,131.01,390.58,241.56,331.0,186.28
18,0,0,271.42,130.99,390.57,241.54,331.0,186.26
19,0,0,271.42,130.98,390.57,241.53,331.0,186.25
20,0,0,271.41,130.96,390.56,241.51,330.99,186.24
21,0,0,271.40,130.95,390.55,241.50,330.98,186.22
22,0,0,271.40,130.93,390.55,241.49,330.98,186.21
23,0,0,271.39,130.92,390.54,241.47,330.97,186.19
24,0,0,271.38,130.91,390.54,241.46,330.96,186.19
25,0,0,271.38,130.89,390.53,241.44,330.95,186.16
26,0,0,271.37,130.88,390.52,241.43,330.94,186.16
27,0,0,271.36,130.86,390.52,241.42,330.94,186.14
28,0,0,271.36,130.85,390.51,241.40,330.94,186.12
29,0,0,271.35,130.83,390.50,241.39,330.93,186.11
30,0,0,271.34,130.82,390.50,241.37,330.92,186.09
31,0,0,271.34,130.81,390.49,241.36,330.91,186.09
32,0,0,271.33,130.79,390.48,241.34,330.9,186.06
33,0,0,271.33,130.78,390.48,241.33,330.9,186.06
34,0,0,271.32,130.76,390.47,241.32,330.89,186.04
35,0,0,271.31,130.75,390.46,241.30,330.88,186.03
36,0,0,272.59,130.28,391.74,240.84,332.16,185.56
37,0,0,253.99,130.72,373.14,241.27,313.56,186.0
38,0,0,227.77,131.18,346.93,241.73,287.35,186.45
39,0,0,218.90,128.36,338.05,238.91,278.48,183.63
40,0,0,200.82,128.25,319.97,238.81,260.39,183.53
41,0,0,182.16,127.68,301.31,238.23,241.74,182.95
42,0,0,166.20,124.27,285.36,234.82,225.78,179.54
43,0,0,146.78,121.34,270.45,231.89,208.62,176.62
44,0,0,127.36,118.40,255.54,228.95,191.45,173.68
45,0,0,118.33,115.46,251.03,229.63,184.68,172.54
46,0,0,109.30,112.53,246.51,230.30,177.9,171.42
47,0,0,135.50,112.53,272.71,230.80,204.1,171.67
48,0,0,146.34,113.21,283.55,232.35,214.94,172.78
49,0,0,157.18,113.88,294.39,233.90,225.78,173.89
50,0,0,189.90,114.56,318.56,235.00,254.23,174.78
51,0,0,210.90,115.24,342.72,233.90,276.81,174.57
52,0,0,225.35,114.79,357.18,233.45,291.26,174.12
53,0,0,239.81,114.33,371.63,233.00,305.72,173.66
54,0,0,257.20,112.98,389.02,231.64,323.11,172.31
55,0,0,274.59,111.62,406.41,230.29,340.5,170.95
56,0,0,282.35,112.10,414.17,230.77,348.26,171.44
57,0,0,290.10,112.58,421.92,231.25,356.01,171.91
58,0,0,297.86,113.06,429.68,231.73,363.77,172.39
59,0,0,296.96,113.54,428.78,232.21,362.87,172.88
60,0,0,296.06,114.02,427.88,232.69,361.97,173.35
61,0,0,298.32,116.04,430.14,234.70,364.23,175.37
