Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,14.66,44,39,212.0,85.0,341,198,0.0,0.1,0,False,True,0,498,229,490,193,840,498,320,180
2,14.3,45,40,211.0,84.0,340,197,0.0,0.21,0,False,True,0,500,231,490,193,840,498,320,180
3,14.57,45,39,211.0,85.0,340,198,0.0,0.33,0,False,True,0,502,233,490,193,840,498,320,180
4,14.91,45,40,211.0,84.0,340,197,0.0,0.43,0,False,True,0,504,235,490,193,840,498,320,180
5,14.25,45,40,211.0,84.0,340,197,0.0,0.54,0,False,True,0,506,236,490,193,840,498,320,180
6,13.71,41,38,215.0,86.0,344,199,0.0,0.66,0,False,True,0,508,237,490,193,840,498,320,180
7,14.01,36,32,220.0,92.0,349,205,0.0,0.77,0,False,True,0,510,239,490,193,840,498,320,180
8,13.9,28,22,228.0,102.0,357,215,0.0,0.88,0,True,True,0,513,241,490,193,840,498,320,180
9,15.17,22,15,234.0,109.0,363,222,7.93,0.99,0.08,True,True,0,513,241,490,193,840,498,320,180
10,15.17,8,10,248.0,114.0,377,227,15.13,1.09,0.16,True,True,0,513,241,490,193,840,498,320,180
11,15.55,3,7,253.0,117.0,382,230,20.74,1.2,0.25,True,True,0,513,241,490,193,841,498,320,180
12,14.66,-3,4,259.0,120.0,388,233,25.79,1.31,0.33,True,True,0,513,241,490,193,840,498,320,180
13,14.45,-12,-7,268.0,131.0,397,244,30.13,1.42,0.42,True,True,0,513,241,490,193,840,498,320,180
14,15.31,-13,-7,269.0,131.0,398,244,33.73,1.52,0.51,True,True,0,513,241,490,193,840,498,320,180
15,14.38,-11,-7,267.0,131.0,396,244,36.94,1.62,0.6,True,True,0,513,241,490,193,840,498,320,180
16,17.08,-12,-7,268.0,131.0,397,244,39.66,1.72,0.68,True,True,0,513,241,490,193,840,498,320,180
17,16.79,-11,-7,267.0,131.0,396,244,42.33,1.81,0.76,True,True,0,513,241,490,193,840,498,320,180
18,16.68,-12,-7,268.0,131.0,397,244,44.48,1.9,0.84,True,True,0,513,241,490,192,840,498,320,180
19,16.83,-12,-7,268.0,131.0,397,244,46.23,1.99,0.92,True,True,0,513,242,490,193,840,498,320,180
20,17.25,-12,-7,268.0,131.0,397,244,48.01,2.08,0.99,True,True,0,513,241,490,193,840,498,320,180
21,17.97,-12,-7,268.0,131.0,397,244,49.62,2.17,1.07,True,True,0,513,241,490,193,840,498,320,180
22,16.15,-12,-7,268.0,131.0,397,244,51.17,2.26,1.15,True,True,0,513,241,488,193,840,498,320,180
23,16.01,-12,-7,268.0,131.0,397,244,52.49,2.35,1.23,True,True,0,513,241,490,193,840,498,320,180
24,16.32,-12,-7,268.0,131.0,397,244,53.96,2.44,1.31,True,True,0,513,241,490,193,840,498,320,180
25,17.23,-12,-9,268.0,133.0,397,246,55.3,2.54,1.4,True,True,0,513,241,490,193,840,498,320,180
