frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
0,0,0,226.03,88.98,346.18,196.00,286.11,142.49
1,0,0,224.00,88.00,342.00,194.00,283.0,141.0
2,0,0,227.61,89.71,344.61,196.41,286.11,143.06
3,0,0,225.46,88.59,343.30,196.60,284.38,142.59
4,0,0,225.44,86.54,346.10,196.27,285.77,141.41
5,0,0,227.28,88.69,348.40,197.00,287.84,142.84
6,0,0,237.26,98.04,354.60,203.80,295.93,150.92
7,0,0,243.31,100.28,364.15,211.03,303.73,155.66
8,0,0,246.81,104.23,366.06,210.90,306.44,157.56
9,0,0,258.78,114.41,378.80,223.40,318.79,168.91
10,0,0,264.64,116.65,386.88,230.91,325.76,173.78
11,0,0,270.99,119.66,393.33,224.80,332.16,172.23
12,0,0,270.28,118.37,388.58,224.26,329.43,171.31
13,0,0,268.93,119.19,386.97,229.38,327.95,174.28
14,0,0,271.21,117.24,387.80,226.60,329.5,171.92
15,0,0,271.26,118.45,389.90,227.40,330.58,172.93
16,0,0,272.77,116.81,386.60,225.50,329.69,171.16
17,0,0,269.35,118.48,387.91,223.20,328.63,170.84
18,0,0,271.48,119.64,390.61,227.40,331.05,173.52
19,0,0,271.59,117.16,387.20,225.00,329.39,171.08
20,0,0,269.36,117.99,388.33,227.71,328.85,172.85
21,0,0,269.39,117.93,388.36,227.56,328.88,172.75
22,0,0,269.42,117.87,388.38,227.42,328.9,172.64
23,0,0,269.45,117.81,388.41,227.28,328.93,172.55
24,0,0,269.48,117.75,388.44,227.13,328.96,172.44
25,0,0,269.50,117.68,388.47,226.99,328.99,172.34
26,0,0,269.53,117.62,388.50,226.85,329.01,172.24
27,0,0,269.56,117.56,388.52,226.70,329.04,172.13
28,0,0,269.59,117.50,388.55,226.56,329.07,172.03
29,0,0,269.61,117.44,388.58,226.42,329.1,171.93
30,0,0,269.64,117.38,388.61,226.28,329.12,171.83
31,0,0,269.67,117.32,388.63,226.13,329.15,171.72
32,0,0,269.70,117.26,388.66,225.99,329.18,171.62
33,0,0,269.72,117.19,388.69,225.85,329.21,171.52
34,0,0,269.75,117.13,388.72,225.70,329.24,171.41
35,0,0,269.78,117.07,388.74,225.56,329.26,171.31
36,0,0,269.81,117.01,388.77,225.42,329.29,171.22
37,0,0,269.83,116.95,388.80,225.27,329.31,171.11
38,0,0,269.86,116.89,388.83,225.13,329.35,171.01
39,0,0,269.89,116.83,388.86,224.99,329.38,170.91
40,0,0,269.92,116.77,388.88,224.84,329.4,170.81
41,0,0,269.95,116.70,388.91,224.70,329.43,170.7
42,0,0,269.97,116.64,388.94,224.56,329.46,170.6
43,0,0,270.00,116.58,388.97,224.41,329.49,170.5
44,0,0,270.03,116.52,388.99,224.27,329.51,170.4
45,0,0,270.06,116.46,389.02,224.13,329.54,170.29
46,0,0,270.08,116.40,389.05,223.98,329.56,170.19
47,0,0,270.11,116.34,389.08,223.84,329.6,170.09
48,0,0,270.14,116.28,389.10,223.70,329.62,169.99
49,0,0,270.17,116.22,389.13,223.55,329.65,169.88
50,0,0,270.19,116.15,389.16,223.41,329.68,169.78
51,0,0,270.22,116.09,389.19,223.27,329.71,169.68
52,0,0,265.07,116.03,384.03,223.12,324.55,169.57
53,0,0,240.95,115.97,359.91,222.98,300.43,169.47
54,0,0,232.20,116.24,351.17,223.17,291.69,169.7
55,0,0,223.46,116.51,342.42,223.35,282.94,169.93
