Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,45.05,32,38,226.5,82.0,351,202,0.0,0.05,0,False,True,0,500,229,487,192,840,498,320,180
2,37.94,32,38,226.5,82.0,351,202,0.0,0.12,0,False,True,0,502,230,487,192,840,498,320,180
3,38.35,32,38,226.5,82.0,351,202,0.0,0.17,0,False,True,0,504,232,487,192,840,498,320,180
4,36.83,32,38,226.5,82.0,351,202,0.0,0.24,0,False,True,0,506,233,487,192,840,498,320,180
5,35.86,32,38,226.5,82.0,351,202,0.0,0.3,0,False,True,0,508,235,487,192,840,498,320,180
6,43.79,32,38,226.5,82.0,351,202,0.0,0.35,0,False,True,0,510,235,487,192,840,498,320,180
7,37.62,19,27,239.5,93.0,364,213,0.0,0.41,0,True,True,0,511,236,487,192,840,498,320,180
8,42.23,14,26,244.5,94.0,369,214,9.79,0.47,0.05,True,True,0,511,236,487,192,840,498,320,180
9,40.01,5,16,253.5,104.0,378,224,17.91,0.53,0.09,True,True,0,511,236,487,193,840,498,320,180
10,34.57,-1,11,259.5,109.0,384,229,25.26,0.59,0.15,True,True,0,511,236,487,192,841,498,320,180
11,35.99,-6,10,264.5,110.0,389,230,30.84,0.66,0.2,True,True,0,511,236,487,192,840,498,320,180
12,37.69,-13,8,271.5,112.0,396,232,35.23,0.72,0.25,True,True,0,511,236,487,192,840,498,320,180
13,40.44,-12,8,270.5,112.0,395,232,38.52,0.78,0.3,True,True,0,511,236,487,192,840,498,320,180
14,39.91,-12,8,270.5,112.0,395,232,41.52,0.84,0.34,True,True,0,511,236,487,192,840,498,320,180
15,37.95,-12,8,270.5,112.0,395,232,44.21,0.9,0.39,True,True,0,511,236,487,192,840,498,320,180
16,35.42,-12,8,270.5,112.0,395,232,46.7,0.96,0.44,True,True,0,511,236,487,192,840,498,320,180
17,41.01,-12,8,270.5,112.0,395,232,48.61,1.02,0.49,True,True,0,511,236,487,192,840,498,320,180
18,37.64,-12,8,270.5,112.0,395,232,50.42,1.08,0.54,True,True,0,511,236,487,192,840,498,320,180
19,40.26,-12,8,270.5,112.0,395,232,52.15,1.14,0.59,True,True,0,511,236,487,192,840,498,320,180
20,34.57,-12,8,270.5,112.0,395,232,53.76,1.2,0.64,True,True,0,511,236,487,192,840,498,320,180
21,34.54,-12,8,270.5,112.0,395,232,55.21,1.27,0.69,True,True,0,511,236,487,193,840,498,320,180
22,30.53,-12,8,270.5,112.0,395,232,56.16,1.34,0.74,True,True,0,511,236,487,192,840,498,320,180
23,34.66,-12,8,270.5,112.0,395,232,57.12,1.4,0.79,True,True,0,511,236,487,192,840,498,320,180
24,31.91,-12,8,270.5,112.0,395,232,58.2,1.47,0.85,True,True,0,511,236,487,192,840,498,320,180
25,29.4,-12,8,270.5,112.0,395,232,59.15,1.54,0.9,True,True,0,511,236,487,192,840,498,320,180
26,28.91,-12,8,270.5,112.0,395,232,59.93,1.62,0.96,True,True,0,511,236,487,192,840,498,320,180
27,29.19,-12,8,270.5,112.0,395,232,60.88,1.69,1.02,True,True,0,511,236,487,193,840,498,320,180
28,27.75,-12,8,270.5,112.0,395,232,61.8,1.77,1.08,True,True,0,511,236,487,192,840,498,320,180
29,28.11,-12,8,270.5,112.0,395,232,62.54,1.84,1.14,True,True,0,511,236,487,192,840,498,320,180
30,28.4,-12,8,270.5,112.0,395,232,63.2,1.92,1.2,True,True,0,511,236,487,192,840,498,320,180
31,30.24,-12,8,270.5,112.0,395,232,63.57,1.99,1.26,True,True,0,511,236,487,192,840,498,320,180
32,30.53,-12,8,270.5,112.0,395,232,63.99,2.07,1.31,True,True,0,511,236,487,192,840,498,320,180
33,28.88,-12,8,270.5,112.0,395,232,64.32,2.14,1.37,True,True,0,511,236,487,192,840,498,320,180
34,30.57,-12,8,270.5,112.0,395,232,64.66,2.21,1.42,True,True,0,511,236,487,192,840,498,320,180
35,28.43,-12,8,270.5,112.0,395,232,65.21,2.29,1.48,True,True,0,511,236,487,192,840,498,320,180
36,29.63,-12,8,270.5,112.0,395,232,65.54,2.36,1.54,True,True,0,511,236,487,192,840,498,320,180
37,29.44,-12,8,270.5,112.0,395,232,65.82,2.44,1.59,True,True,0,511,236,487,192,840,498,320,180
38,31.13,-12,8,270.5,112.0,395,232,66.27,2.51,1.65,True,True,0,511,236,487,192,840,498,320,180
39,30.54,-12,8,270.5,112.0,395,232,66.55,2.58,1.71,True,True,0,511,236,487,192,840,498,320,180
40,29.62,-12,8,270.5,112.0,395,232,66.82,2.65,1.76,True,True,0,511,236,487,192,840,498,320,180
41,31.4,-12,8,270.5,112.0,395,232,66.81,2.72,1.81,True,True,0,511,236,487,192,840,498,320,180
42,31.17,-12,8,270.5,112.0,395,232,67.15,2.8,1.87,True,True,0,511,236,487,192,840,498,320,180
43,28.88,-12,8,270.5,112.0,395,232,67.33,2.87,1.92,True,True,0,511,236,487,192,840,498,320,180
44,30.15,-12,8,270.5,112.0,395,232,67.48,2.94,1.97,True,True,0,511,236,487,192,840,498,320,180
45,29.42,-12,8,270.5,112.0,395,232,67.71,3.02,2.03,True,True,0,511,236,487,192,840,498,320,180
46,29.14,-12,8,270.5,112.0,395,232,67.85,3.09,2.09,True,True,0,511,236,487,192,840,498,320,180
47,29.36,-12,8,270.5,112.0,395,232,67.97,3.17,2.14,True,True,0,511,236,487,192,840,498,320,180
48,31.91,-12,8,270.5,112.0,395,232,68.2,3.24,2.2,True,True,0,511,236,501,192,840,484,320,180
49,30.54,-12,8,270.5,112.0,395,232,68.41,3.31,2.25,True,True,0,511,236,518,192,840,469,320,180
50,37.72,-12,8,270.5,112.0,395,232,68.64,3.37,2.3,True,True,0,511,236,529,192,840,458,320,180
51,40.65,-12,8,270.5,112.0,395,232,68.89,3.42,2.35,True,True,0,511,236,540,192,840,447,320,180
52,38.82,-12,8,270.5,112.0,395,232,69.06,3.48,2.4,True,True,0,511,236,551,192,840,435,320,180
53,36.03,-7,8,265.5,112.0,390,232,69.4,3.54,2.45,True,True,0,511,236,565,192,840,424,320,180
54,38.68,19,8,239.5,112.0,364,232,69.73,3.6,2.5,True,True,0,511,236,575,192,840,411,320,180
