frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
411,1,0,129.75,9.99,254.63,108.50,192.19,59.25
412,0,0,129.28,16.16,253.10,132.50,191.19,74.33
413,0,0,132.22,67.36,251.60,175.60,191.91,121.48
414,0,0,163.18,113.46,283.40,223.10,223.29,168.28
415,0,0,200.38,169.20,312.90,269.40,256.64,219.3
416,0,0,203.38,189.00,326.00,295.80,264.69,242.4
417,0,0,221.44,204.56,337.00,304.10,279.22,254.33
418,0,0,248.33,221.24,363.50,317.00,305.92,269.12
419,0,0,264.23,231.44,379.10,335.20,321.67,283.32
420,0,0,278.19,228.44,400.98,342.67,339.59,285.56
421,0,0,288.68,219.26,401.40,321.60,345.04,270.43
422,0,0,297.76,207.00,410.48,309.34,354.12,258.17
423,0,0,310.02,198.83,422.74,301.17,366.38,250.0
424,0,0,308.89,176.82,421.60,279.15,365.25,227.98
425,0,0,307.75,154.80,420.47,257.14,364.11,205.97
426,0,0,305.48,139.36,418.20,241.70,361.84,190.53
427,0,0,283.24,124.38,395.95,226.72,339.6,175.55
428,0,0,271.43,110.31,384.15,212.65,327.79,161.48
429,0,0,255.09,93.51,367.80,195.85,311.44,144.68
430,0,0,241.47,87.61,354.19,189.95,297.83,138.78
431,0,0,223.31,81.71,336.03,184.05,279.67,132.88
432,0,0,202.88,81.25,315.60,183.59,259.24,132.42
433,0,0,183.81,80.35,302.90,182.68,243.35,131.51
434,0,0,172.01,81.25,291.10,183.59,231.56,132.42
435,0,0,160.21,82.16,279.29,184.50,219.75,133.33
436,0,0,166.11,87.84,285.19,190.18,225.65,139.01
437,0,0,172.01,93.51,291.10,195.85,231.56,144.68
438,0,0,180.86,101.68,299.95,204.02,240.41,152.85
439,0,0,189.71,109.85,308.80,212.19,249.25,161.02
440,0,0,202.28,113.33,320.60,214.30,261.44,163.81
441,0,0,214.84,116.82,332.41,216.40,273.62,166.61
442,0,0,227.40,120.30,344.21,218.50,285.81,169.4
443,0,0,233.30,120.98,350.11,219.18,291.71,170.08
444,0,0,239.20,121.66,356.01,219.86,297.61,170.76
445,0,0,248.06,119.84,364.87,218.05,306.47,168.94
446,0,0,256.91,118.03,373.72,216.23,315.32,167.13
447,0,0,258.67,118.03,374.28,216.52,316.48,167.28
448,0,0,260.44,118.03,374.83,216.81,317.63,167.42
449,0,0,262.20,118.03,375.39,217.10,318.79,167.56
450,0,0,262.17,118.03,375.95,216.80,319.06,167.42
451,0,0,262.13,118.03,376.51,216.50,319.32,167.26
452,0,0,262.10,118.03,377.06,216.20,319.58,167.12
453,0,0,261.79,118.03,377.12,216.21,319.46,167.12
454,0,0,261.48,118.03,377.18,216.21,319.33,167.12
455,0,0,261.16,118.03,377.24,216.22,319.2,167.12
456,0,0,260.85,118.03,377.29,216.22,319.07,167.12
457,0,0,260.54,118.03,377.35,216.23,318.95,167.13
458,0,0,260.54,118.03,377.35,216.23,318.95,167.13
459,0,0,260.54,118.03,377.35,216.23,318.95,167.13
0,0,0,224.22,89.89,341.80,197.02,283.01,143.46
1,0,0,224.86,89.29,342.20,199.20,283.53,144.25
2,0,0,226.50,91.94,343.30,199.30,284.9,145.62
3,0,0,226.16,91.72,340.90,199.00,283.53,145.36
4,0,0,225.01,90.09,343.50,199.40,284.25,144.75
5,0,0,225.59,91.01,343.70,197.60,284.64,144.31
6,0,0,224.23,94.54,341.10,202.20,282.67,148.37
7,0,0,226.65,106.20,342.30,214.30,284.48,160.25
8,0,0,216.84,94.86,343.85,213.29,280.35,154.07
9,0,0,226.38,105.60,342.20,215.40,284.29,160.5
10,0,0,227.37,114.55,343.50,224.10,285.44,169.32
11,0,0,229.95,116.82,346.50,225.25,288.23,171.03
12,0,0,232.52,119.09,349.50,226.40,291.01,172.75
13,0,0,233.28,118.18,349.40,225.90,291.34,172.04
14,0,0,233.26,118.22,349.46,225.81,291.36,172.01
15,0,0,233.24,118.27,349.51,225.73,291.38,172.0
16,0,0,233.22,118.31,349.57,225.64,291.39,171.97
17,0,0,233.21,118.35,349.62,225.56,291.42,171.95
18,0,0,233.19,118.39,349.68,225.47,291.44,171.93
19,0,0,233.17,118.44,349.73,225.38,291.45,171.91
20,0,0,233.15,118.48,349.79,225.30,291.47,171.89
21,0,0,233.14,118.52,349.84,225.21,291.49,171.87
22,0,0,233.12,118.57,349.90,225.12,291.51,171.84
23,0,0,233.10,118.61,349.95,225.04,291.52,171.82
24,0,0,233.09,118.65,350.01,224.95,291.55,171.8
25,0,0,233.07,118.70,350.06,224.87,291.56,171.78
26,0,0,233.05,118.74,350.12,224.78,291.59,171.76
27,0,0,233.03,118.78,350.17,224.69,291.6,171.74
28,0,0,233.02,118.82,350.23,224.61,291.62,171.72
29,0,0,233.00,118.87,350.28,224.52,291.64,171.69
30,0,0,232.98,118.91,350.34,224.43,291.66,171.67
31,0,0,232.97,118.95,350.39,224.35,291.68,171.65
