Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,20.57,17,33,235.28598405119996,86.68430991359999,371,210,0.0,0.09,0,False,True,0,500,230,490,193,840,498,320,180
2,20.1,18,33,235.3931128183966,86.78394898618465,371,210,0.0,0.17,0,False,True,0,500,232,490,193,840,498,320,180
3,20.24,30,20,222.90251120639996,99.06778275839999,359,222,0.0,0.27,0,True,True,0,500,234,490,193,840,498,320,180
4,20.57,30,20,222.90361618952392,99.08386713359435,359,222,20.46,0.36,0.07,True,True,0,500,234,490,193,840,499,320,180
5,19.53,30,45,222.90251120639996,74.30083706879999,359,198,16.14,0.45,0.07,False,True,0,500,234,490,193,840,498,320,180
6,19.68,31,44,222.67286292325954,75.05068926823114,358,198,13.36,0.54,0.07,False,True,0,500,236,490,193,840,498,320,180
7,20.12,30,38,222.65641367878732,80.47327979882456,359,204,11.44,0.62,0.07,False,True,0,502,237,490,193,840,498,320,180
8,21.28,30,29,223.37951534572403,90.00196480809585,359,213,10.09,0.71,0.07,True,True,0,502,239,490,193,840,498,320,180
9,21.57,30,30,223.41390527466555,89.58689146024972,358,212,9.06,0.78,0.07,True,True,0,502,239,490,193,840,498,320,180
10,22.55,30,30,223.36460751390229,89.63986126380834,358,212,8.22,0.86,0.07,True,True,0,502,239,490,193,840,498,320,180
11,21.67,29,21,224.56663830512304,98.97933346137141,359,221,7.53,0.94,0.07,True,True,0,502,239,490,193,840,498,320,180
12,22.58,23,19,230.61808282569177,100.51164558545025,365,223,6.96,1.02,0.07,True,True,0,502,239,490,193,840,498,320,180
13,20.73,22,16,231.01825744298188,103.26268517671895,366,226,6.44,1.1,0.07,True,True,0,502,239,490,193,840,498,320,180
14,20.27,23,16,230.9084830145127,103.2217031634444,366,226,5.99,1.18,0.07,True,True,0,502,239,490,193,840,498,320,180
15,19.91,22,16,231.08179881633367,103.34165284256787,366,226,5.6,1.26,0.07,True,True,0,502,239,490,193,840,498,320,180
16,18.63,23,16,230.89483972350254,103.35016237642877,366,226,5.24,1.35,0.07,True,True,0,502,239,490,193,840,498,320,180
17,19.97,23,16,230.94971213274965,103.3355100300767,366,226,4.94,1.43,0.07,True,True,0,502,239,490,193,840,498,320,180
18,21.28,23,16,230.90054140521482,103.26453720182238,366,226,4.68,1.51,0.07,True,True,0,502,239,490,193,840,498,320,180
19,21.4,23,16,230.89386674582838,103.28621258249379,366,226,4.45,1.58,0.07,True,True,0,502,239,490,193,840,498,320,180
20,21.72,23,16,230.91722010159816,103.20398762249579,366,226,4.24,1.66,0.07,True,True,0,502,239,490,193,840,498,320,180
21,21.42,23,16,230.87124342045178,103.15135239112249,366,226,4.05,1.74,0.07,True,True,0,502,239,490,193,840,498,320,180
22,20.7,23,16,230.98394229260526,103.1671512481761,366,226,3.87,1.82,0.07,True,True,0,502,239,490,193,840,498,320,180
23,21.51,23,16,230.9265928682989,103.14843423668842,366,226,3.71,1.9,0.07,True,True,0,502,239,490,193,840,498,320,180
24,21.4,23,16,230.85268182926222,103.13214778407519,366,226,3.56,1.98,0.07,True,True,0,502,239,490,193,840,498,320,180
25,21.46,23,17,230.83918439772367,102.99447788892647,366,226,3.43,2.05,0.07,True,True,0,502,239,490,193,840,498,320,180
26,20.8,23,16,230.91154027706358,103.17062833099328,366,226,3.3,2.13,0.07,True,True,0,502,239,490,193,840,498,320,180
27,20.28,23,17,230.86076562298928,102.98562012274394,366,226,3.18,2.21,0.07,True,True,0,502,239,490,193,840,498,320,180
28,20.32,23,17,230.71599785204847,102.96022220631247,366,226,3.06,2.3,0.07,True,True,0,502,239,490,193,840,498,320,180
29,20.23,23,17,230.7869106257962,102.88818462447446,366,226,2.96,2.38,0.07,True,True,0,502,239,490,193,840,498,320,180
30,19.22,23,17,230.7508732932452,102.82408879614333,366,226,2.85,2.46,0.07,True,True,0,502,239,490,193,840,498,320,180
31,19.87,22,17,230.7125720195928,102.64262000910492,366,226,2.76,2.55,0.07,True,True,0,502,239,490,193,840,498,320,180
32,20.02,23,17,230.65351840119322,102.78069626510529,366,226,2.67,2.63,0.07,True,True,0,502,239,490,193,840,498,320,180
33,21.68,22,17,230.4859475793645,102.75123124685902,366,226,2.59,2.71,0.07,True,True,0,502,239,490,193,840,498,320,180
34,22.1,22,17,230.40457056297305,102.84036027315089,366,226,2.52,2.79,0.07,True,True,0,502,239,490,193,840,498,320,180
35,20.56,22,17,230.37230151278908,102.6658984302102,366,226,2.45,2.87,0.07,True,True,0,502,239,490,193,840,498,320,180
36,20.45,23,17,230.38186466873873,102.7684330674993,366,226,2.38,2.95,0.07,True,True,0,502,239,490,193,840,498,320,180
37,20.87,23,17,230.4542538578595,102.76376246172839,366,226,2.32,3.03,0.07,True,True,0,502,239,490,193,840,498,320,180
38,20.0,23,17,230.5606741462354,102.9269466799652,366,226,2.26,3.12,0.07,True,True,0,502,239,490,193,840,497,320,180
39,20.07,23,17,230.49002642459556,102.81672871391476,366,226,2.2,3.2,0.07,True,True,0,502,239,508,193,840,478,320,180
40,20.21,23,17,230.43515249065166,102.85559259809577,366,226,2.14,3.28,0.07,True,True,0,502,239,525,193,840,461,320,180
41,20.13,23,17,230.54131785084974,102.91169019117353,366,226,2.09,3.37,0.07,True,True,0,502,239,541,193,840,445,320,180
42,20.22,23,16,230.52118171777727,103.06565356984343,365,226,2.04,3.45,0.07,True,True,0,502,239,559,193,840,428,320,180
43,19.82,23,17,230.43811206529637,102.94430315667722,365,225,1.99,3.53,0.07,True,True,0,502,239,575,193,840,411,320,180
44,20.58,34,16,218.4395621070738,102.9675642087281,355,227,72.97,3.62,2.63,False,True,0,502,239,593,193,840,393,320,180
45,18.7,57,16,195.68689828882458,102.8914467660903,332,227,71.22,3.7,2.63,False,True,0,504,239,610,193,840,373,320,180
46,19.11,70,16,182.01002629638546,102.47121024242406,319,227,69.59,3.79,2.63,False,True,0,506,239,629,193,840,352,320,180
47,20.49,81,16,171.17863373956777,102.45684142079648,308,227,67.94,3.88,2.63,False,True,0,509,239,649,193,840,333,320,180
48,19.13,104,20,148.60167413759999,99.06778275839999,284,222,66.47,3.97,2.63,False,True,0,513,239,667,193,840,312,320,180
49,19.51,120,21,131.44669614722454,96.99692042073627,270,223,65.07,4.05,2.63,False,True,0,518,239,684,193,840,305,320,180
50,18.24,129,20,123.83472844799998,99.06778275839999,260,222,63.68,4.14,2.63,False,True,0,524,239,686,193,840,305,320,180
51,18.89,134,21,117.7351100884637,96.84892332776687,256,222,62.31,4.23,2.63,False,True,0,530,239,686,193,840,305,320,180
