frame,occluded,outside,xmin,ymin,xmax,ymax,obj_center_x,obj_center_y
217,0,0,229.48,-0.05,349.52,60.00,289.5,29.97
218,0,0,226.16,0.00,346.17,79.17,286.17,39.59
219,0,0,229.00,1.00,348.00,93.00,288.5,47.0
220,0,0,229.56,0.00,351.11,104.60,290.34,52.3
221,0,0,230.50,7.40,351.67,117.26,291.09,62.33
222,0,0,228.83,21.58,350.33,131.72,289.58,76.65
223,0,0,230.21,40.47,350.53,151.33,290.37,95.9
224,0,0,233.10,55.60,351.20,158.83,292.15,107.22
225,0,0,229.69,69.50,349.28,176.13,289.49,122.81
226,0,0,230.87,77.97,350.18,183.15,290.52,130.56
227,0,0,233.20,87.30,350.32,192.15,291.76,139.72
228,0,0,235.90,101.55,350.56,201.74,293.23,151.65
229,0,0,238.60,115.80,350.81,211.33,294.7,163.56
230,0,0,238.58,115.70,350.82,211.14,294.7,163.42
231,0,0,238.55,115.59,350.83,210.96,294.69,163.28
232,0,0,238.53,115.49,350.83,210.77,294.68,163.13
233,0,0,238.51,115.39,350.84,210.59,294.67,162.99
234,0,0,238.48,115.28,350.85,210.40,294.67,162.84
235,0,0,238.46,115.18,350.86,210.21,294.66,162.69
236,0,0,238.44,115.08,350.87,210.03,294.65,162.56
237,0,0,238.42,114.97,350.88,209.84,294.65,162.41
238,0,0,238.39,114.87,350.88,209.66,294.63,162.26
239,0,0,238.37,114.77,350.89,209.47,294.63,162.12
240,0,0,238.35,114.66,350.90,209.29,294.62,161.97
241,0,0,238.32,114.56,350.91,209.10,294.62,161.83
242,0,0,238.30,114.46,350.92,208.92,294.61,161.69
243,0,0,238.28,114.35,350.93,208.73,294.61,161.54
244,0,0,238.25,114.25,350.93,208.55,294.59,161.4
245,0,0,238.23,114.15,350.94,208.36,294.58,161.25
246,0,0,238.21,114.04,350.95,208.17,294.58,161.1
247,0,0,238.18,113.94,350.96,207.99,294.57,160.97
248,0,0,238.16,113.84,350.97,207.80,294.56,160.82
249,0,0,238.14,113.73,350.98,207.62,294.56,160.68
250,0,0,238.12,113.63,350.99,207.43,294.56,160.53
251,0,0,238.09,113.53,350.99,207.25,294.54,160.39
252,0,0,238.07,113.42,351.00,207.06,294.53,160.24
253,0,0,238.05,113.32,351.01,206.88,294.53,160.1
254,0,0,238.86,113.44,351.86,206.91,295.36,160.18
255,0,0,266.24,112.58,379.26,205.97,322.75,159.28
256,0,0,272.63,112.42,385.69,205.73,329.16,159.07
257,0,0,286.90,111.27,399.99,204.50,343.44,157.88
258,0,0,292.71,110.60,412.95,204.26,352.83,157.43
259,0,0,313.40,109.41,433.92,203.00,373.66,156.2
260,0,0,324.42,107.24,446.61,202.80,385.51,155.02
261,0,0,335.44,105.08,459.30,202.60,397.37,153.84
262,0,0,346.46,102.91,471.99,202.40,409.23,152.66
263,0,0,357.48,100.75,484.68,202.20,421.08,151.47
264,0,0,368.50,98.59,497.37,202.00,432.94,150.3
265,0,0,385.71,91.20,514.60,199.54,450.15,145.37
266,0,0,398.50,89.23,527.39,197.57,462.94,143.4
267,1,0,405.88,87.76,534.76,196.10,470.32,141.93
268,1,0,413.25,79.90,544.08,194.60,478.67,137.25
269,1,0,426.04,71.54,565.23,195.11,495.63,133.33
270,1,0,430.96,67.85,570.15,191.42,500.55,129.63
271,1,0,435.88,64.16,575.07,187.73,505.48,125.94
272,1,0,442.52,56.54,581.71,185.77,512.12,121.16
273,1,0,449.16,48.92,588.35,183.80,518.75,116.36
274,1,0,449.09,48.66,588.63,183.96,518.86,116.31
275,1,0,449.03,48.41,588.92,184.13,518.97,116.27
276,1,0,448.97,48.16,589.20,184.29,519.09,116.22
277,1,0,448.91,47.91,589.49,184.46,519.2,116.19
278,1,0,448.85,47.66,589.78,184.62,519.32,116.14
279,1,0,448.78,47.40,590.06,184.79,519.42,116.09
280,1,0,448.72,47.15,590.35,184.95,519.54,116.05
281,1,0,448.66,46.90,590.63,185.12,519.64,116.01
282,1,0,448.60,46.65,590.92,185.28,519.76,115.97
283,1,0,448.53,46.40,591.20,185.45,519.87,115.92
284,1,0,448.47,46.14,591.49,185.61,519.98,115.88
285,1,0,448.41,45.89,591.78,185.78,520.1,115.83
286,1,0,448.35,45.64,592.06,185.94,520.2,115.79
287,1,0,448.29,45.39,592.35,186.11,520.32,115.75
288,1,0,448.22,45.14,592.63,186.27,520.42,115.7
289,1,0,448.16,44.88,592.92,186.44,520.54,115.66
290,1,0,448.10,44.63,593.20,186.60,520.65,115.62
291,1,0,448.04,50.43,590.19,187.57,519.12,119.0
292,1,0,447.99,56.22,587.18,188.53,517.59,122.38
293,1,0,441.13,60.68,580.32,190.42,510.73,125.55
294,1,0,434.28,65.14,573.47,192.30,503.88,128.72
295,1,0,433.57,65.92,572.76,198.38,503.16,132.15
296,1,0,423.09,76.46,562.28,198.10,492.68,137.28
297,1,0,419.16,79.90,554.40,196.10,486.78,138.0
298,1,0,405.39,84.33,540.63,200.53,473.01,142.43
299,0,0,397.27,86.54,526.86,200.26,462.06,143.4
300,0,0,389.16,88.75,513.10,200.00,451.13,144.38
301,0,0,376.37,96.62,496.90,199.50,436.63,148.06
302,0,0,363.83,100.31,481.40,201.00,422.62,150.66
303,0,0,351.29,104.00,465.90,202.50,408.6,153.25
304,0,0,339.57,105.33,452.73,203.13,396.15,154.23
305,0,0,327.85,106.66,439.57,203.77,383.71,155.22
306,0,0,316.12,108.00,426.40,204.40,371.26,156.2
307,0,0,304.40,109.33,413.23,205.03,358.81,157.18
308,0,0,292.68,110.66,400.07,205.67,346.38,158.16
309,0,0,280.96,112.00,386.90,206.30,333.93,159.15
310,0,0,256.94,113.82,364.15,208.63,310.54,161.22
311,0,0,243.26,113.44,351.73,208.76,297.5,161.1
312,0,0,229.57,113.05,339.31,208.88,284.44,160.97
313,0,0,230.80,111.87,340.00,207.40,285.4,159.63
314,0,0,231.01,111.87,340.49,207.40,285.75,159.63
315,0,0,231.22,111.87,340.98,207.40,286.1,159.63
316,0,0,231.43,111.87,341.48,207.40,286.46,159.63
317,0,0,231.64,111.87,341.97,207.40,286.81,159.63
318,0,0,231.85,111.87,342.46,207.40,287.15,159.63
319,0,0,232.06,111.87,342.95,207.40,287.5,159.63
320,0,0,232.28,111.87,343.45,207.40,287.87,159.63
321,0,0,232.49,111.87,343.94,207.40,288.22,159.63
322,0,0,232.70,111.87,344.43,207.40,288.56,159.63
323,0,0,232.91,111.87,344.92,207.40,288.92,159.63
324,0,0,233.12,111.87,345.42,207.40,289.27,159.63
325,0,0,233.33,111.87,345.91,207.40,289.62,159.63
326,0,0,233.54,111.87,346.40,207.40,289.97,159.63
327,0,0,233.75,111.87,345.12,207.40,289.44,159.63
328,0,0,233.97,111.87,343.84,207.40,288.9,159.63
329,0,0,234.18,111.87,342.56,207.40,288.37,159.63
330,0,0,234.39,111.87,341.28,207.40,287.83,159.63
331,0,0,234.60,111.87,340.00,207.40,287.3,159.63
332,0,0,235.70,111.87,343.45,207.40,289.57,159.63
333,0,0,236.80,111.87,346.90,207.40,291.85,159.63
334,0,0,237.90,111.87,344.60,207.40,291.25,159.63
335,0,0,239.00,111.87,342.30,207.40,290.65,159.63
336,0,0,240.10,111.87,340.00,207.40,290.05,159.63
337,0,0,245.60,111.87,340.00,207.40,292.8,159.63
338,0,0,249.40,111.87,344.90,207.40,297.15,159.63
339,0,0,253.20,111.87,340.00,207.40,296.6,159.63
340,0,0,252.77,111.87,340.00,207.40,296.38,159.63
341,0,0,252.33,111.87,340.00,207.40,296.17,159.63
342,0,0,251.90,111.87,340.00,207.40,295.95,159.63
343,0,0,251.87,111.87,340.17,207.40,296.02,159.63
344,0,0,251.83,111.87,340.34,207.40,296.08,159.63
345,0,0,251.80,111.87,340.50,207.40,296.15,159.63
346,0,0,251.76,111.87,340.67,207.40,296.22,159.63
347,0,0,251.73,111.87,340.84,207.40,296.28,159.63
348,0,0,251.69,111.87,341.01,207.40,296.35,159.63
349,0,0,251.66,111.87,341.18,207.40,296.42,159.63
350,0,0,251.63,111.87,341.35,207.40,296.49,159.63
351,0,0,251.59,111.87,341.51,207.40,296.55,159.63
352,0,0,251.56,111.87,341.68,207.40,296.62,159.63
353,0,0,251.52,111.87,341.85,207.40,296.69,159.63
354,0,0,251.49,111.87,342.02,207.40,296.75,159.63
355,0,0,251.45,111.87,342.19,207.40,296.82,159.63
356,0,0,251.42,111.87,342.36,207.40,296.89,159.63
357,0,0,251.39,111.87,342.52,207.40,296.95,159.63
358,0,0,251.35,111.87,342.69,207.40,297.02,159.63
359,0,0,251.32,111.87,342.86,207.40,297.09,159.63
360,0,0,251.28,111.87,343.03,207.40,297.15,159.63
361,0,0,251.25,111.87,343.20,207.40,297.23,159.63
