Frame,FPS,Distance_x,Distance_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,Prop_roi(%),Time,Roi_time,In_roi,Tracking_success,Refound_tracking,camera_pan,camera_tilt,object_pan1,object_tilt1,object_tilt2,object_pan2,img_center_x,img_center_y
1,4,0,0,0,0,0,0,0.0,0.3,0,,False,-1,498,230,490,193,840,498,320,180
2,16,0,0,0,0,0,0,0.0,0.39,0,,False,-1,498,230,490,193,840,498,320,180
3,14,39,49,223,79,339,184,0.0,0.49,0,,True,0,498,230,490,193,840,498,320,180
4,15,39,48,223,79,339,185,0.0,0.57,0,,True,0,500,232,490,193,840,498,320,180
5,18,0,0,0,0,0,0,0.0,0.65,0,,False,0,502,234,490,193,840,498,320,180
6,17,0,0,0,0,0,0,0.0,0.73,0,,False,0,502,234,490,193,840,498,320,180
7,17,0,0,0,0,0,0,0.0,0.81,0,,False,0,502,234,490,193,840,498,320,180
8,17,0,0,0,0,0,0,0.0,0.89,0,,False,0,502,234,490,193,840,498,320,180
9,13,24,37,235,87,357,199,0.0,0.98,0,,True,1,502,234,490,193,840,498,320,180
10,10,22,36,236,88,360,201,0.0,1.1,0,,True,1,502,236,490,193,840,498,320,180
11,11,19,28,241,97,361,207,0.0,1.21,0,,True,1,502,237,490,193,840,498,320,180
12,14,17,26,243,99,363,209,6.27,1.31,0.08,,True,1,502,237,490,193,840,498,320,180
13,13,18,26,243,100,361,209,11.99,1.41,0.17,,True,1,502,237,490,193,840,498,320,180
14,14,17,24,244,102,363,211,16.65,1.51,0.25,,True,1,502,237,490,193,840,498,320,180
15,16,0,0,0,0,0,0,15.78,1.59,0.25,,False,1,502,237,490,193,840,498,320,180
16,12,18,18,242,107,362,218,23.52,1.69,0.39,,True,2,502,237,490,193,840,498,320,180
17,13,18,17,242,108,362,219,26.7,1.79,0.47,,True,2,502,237,490,193,840,498,320,180
18,14,17,15,243,110,363,221,29.41,1.89,0.55,,True,2,502,237,490,193,840,498,320,180
19,16,0,0,0,0,0,0,28.13,1.97,0.55,,False,2,502,237,488,193,840,498,320,180
20,13,19,16,242,108,361,220,33.92,2.07,0.7,,True,3,502,237,490,193,840,498,320,180
21,14,18,15,243,110,362,221,35.88,2.17,0.77,,True,3,502,237,490,193,840,498,320,180
22,13,19,17,242,108,361,219,37.68,2.27,0.85,,True,3,502,237,490,193,840,498,320,180
23,14,18,15,243,109,361,221,39.28,2.36,0.92,,True,3,502,237,490,193,840,498,320,180
24,16,0,0,0,0,0,0,37.93,2.45,0.92,,False,3,502,237,490,193,840,498,320,180
25,13,19,17,243,109,359,218,42.29,2.55,1.07,,True,4,502,237,490,193,840,498,320,180
26,14,18,16,244,110,360,219,43.64,2.64,1.15,,True,4,502,237,490,193,840,498,320,180
27,12,17,13,240,106,366,229,44.95,2.75,1.23,,True,4,502,237,490,193,840,498,320,180
28,14,17,12,239,106,367,231,46.08,2.84,1.3,,True,4,502,237,490,193,840,498,320,180
29,14,18,16,243,107,361,221,47.36,2.93,1.38,,True,4,502,237,490,193,840,498,320,180
30,14,19,17,244,108,358,218,48.54,3.02,1.46,,True,4,502,236,490,193,840,498,320,180
31,16,19,17,245,109,358,218,49.46,3.1,1.52,,True,4,504,236,490,193,840,497,320,180
32,15,19,17,245,108,358,218,50.51,3.18,1.6,,True,4,502,236,510,193,840,476,320,180
33,15,18,14,243,107,362,226,51.52,3.26,1.67,,True,4,502,236,529,193,840,460,320,180
34,16,17,12,243,106,363,230,52.38,3.34,1.74,,True,4,502,236,543,193,840,443,320,180
35,16,17,12,242,106,364,231,53.11,3.42,1.81,,True,4,502,236,559,193,840,428,320,180
36,19,0,0,0,0,0,0,52.06,3.49,1.81,,False,4,502,236,573,193,840,415,320,180
